    Gauss-Seidel method without dynamic relax	    1	    Compute complete	  0.190907	        15	
                                          SOR	    1	    Compute complete	  0.186804	        15	
                                          SOR	 1.01	    Compute complete	  0.163317	        15	
                                          SOR	 1.02	    Compute complete	  0.153449	        14	
                                          SOR	 1.03	    Compute complete	  0.164817	        14	
                                          SOR	 1.04	    Compute complete	  0.162397	        14	
                                          SOR	 1.05	    Compute complete	  0.152701	        14	
                                          SOR	 1.06	    Compute complete	   0.14156	        13	
                                          SOR	 1.07	    Compute complete	  0.149855	        13	
                                          SOR	 1.08	    Compute complete	  0.150944	        13	
                                          SOR	 1.09	    Compute complete	   0.13411	        12	
                                          SOR	  1.1	    Compute complete	  0.130031	        12	
                                          SOR	 1.11	    Compute complete	  0.140238	        12	
                                          SOR	 1.12	    Compute complete	  0.152288	        12	
                                          SOR	 1.13	    Compute complete	  0.140049	        12	
                                          SOR	 1.14	    Compute complete	  0.116771	        12	
                                          SOR	 1.15	    Compute complete	  0.127317	        12	
                                          SOR	 1.16	    Compute complete	  0.118201	        12	
                                          SOR	 1.17	    Compute complete	   0.11829	        12	
                                          SOR	 1.18	    Compute complete	  0.133666	        13	
                                          SOR	 1.19	    Compute complete	  0.136869	        13	
                                          SOR	  1.2	    Compute complete	  0.136262	        14	
                                          SOR	 1.21	    Compute complete	  0.142819	        14	
                                          SOR	 1.22	    Compute complete	  0.141221	        14	
                                          SOR	 1.23	    Compute complete	  0.154028	        15	
                                          SOR	 1.24	    Compute complete	  0.153453	        15	
                                          SOR	 1.25	    Compute complete	  0.163237	        16	
                                          SOR	 1.26	    Compute complete	  0.155935	        16	
                                          SOR	 1.27	    Compute complete	   0.15665	        16	
                                          SOR	 1.28	    Compute complete	  0.171642	        17	
                                          SOR	 1.29	    Compute complete	  0.177877	        17	
                                          SOR	  1.3	    Compute complete	  0.181145	        18	
                                          SOR	 1.31	    Compute complete	  0.198805	        18	
                                          SOR	 1.32	    Compute complete	    0.1922	        19	
                                          SOR	 1.33	    Compute complete	  0.197071	        19	
                                          SOR	 1.34	    Compute complete	  0.193454	        20	
                                          SOR	 1.35	    Compute complete	  0.194996	        20	
                                          SOR	 1.36	    Compute complete	  0.218175	        21	
                                          SOR	 1.37	    Compute complete	  0.198866	        21	
                                          SOR	 1.38	    Compute complete	  0.206794	        22	
                                          SOR	 1.39	    Compute complete	  0.217321	        22	
