    Gauss-Seidel method without dynamic relax	    1	    Timeout occured!	    1001.7	        98	
                                          SOR	  0.1	    Timeout occured!	   1012.45	       117	
                                          SOR	 0.11	    Timeout occured!	   1004.24	       125	
                                          SOR	 0.12	    Timeout occured!	   1001.97	       132	
                                          SOR	 0.13	    Timeout occured!	   1004.35	       138	
                                          SOR	 0.14	    Timeout occured!	   1001.49	       141	
                                          SOR	 0.15	    Timeout occured!	   1001.46	       113	
                                          SOR	 0.16	    Timeout occured!	   1009.65	       109	
                                          SOR	 0.17	    Timeout occured!	   1000.24	       121	
                                          SOR	 0.18	    Timeout occured!	   1000.81	       135	
                                          SOR	 0.19	    Timeout occured!	   1003.51	       128	
                                          SOR	  0.2	    Timeout occured!	   1001.41	       121	
                                          SOR	 0.21	    Timeout occured!	   1004.03	       116	
                                          SOR	 0.22	    Timeout occured!	   1002.29	       112	
                                          SOR	 0.23	    Timeout occured!	   1001.72	        97	
                                          SOR	 0.24	    Timeout occured!	   1004.35	       119	
                                          SOR	 0.25	    Timeout occured!	   1013.37	       119	
                                          SOR	 0.26	    Timeout occured!	   1001.62	       118	
                                          SOR	 0.27	    Timeout occured!	    1004.1	       131	
                                          SOR	 0.28	    Timeout occured!	   1003.11	       141	
                                          SOR	 0.29	    Timeout occured!	   1002.78	       136	
                                          SOR	  0.3	    Timeout occured!	    1000.5	       146	
                                          SOR	 0.31	    Timeout occured!	   1002.55	       143	
                                          SOR	 0.32	    Timeout occured!	   1001.18	       145	
                                          SOR	 0.33	    Timeout occured!	    1002.3	       146	
                                          SOR	 0.34	    Timeout occured!	   1000.73	       145	
                                          SOR	 0.35	    Timeout occured!	   1000.35	       145	
                                          SOR	 0.36	    Timeout occured!	   1000.93	       141	
                                          SOR	 0.37	    Timeout occured!	   1000.47	       144	
                                          SOR	 0.38	    Timeout occured!	   1005.61	       147	
                                          SOR	 0.39	    Timeout occured!	   1002.45	       147	
                                          SOR	  0.4	    Timeout occured!	   1005.51	       147	
                                          SOR	 0.41	    Timeout occured!	   1000.65	       146	
                                          SOR	 0.42	    Timeout occured!	   1003.28	       145	
                                          SOR	 0.43	    Timeout occured!	   1000.24	       146	
                                          SOR	 0.44	    Timeout occured!	   1001.98	       146	
                                          SOR	 0.45	    Timeout occured!	   1004.91	       147	
                                          SOR	 0.46	    Timeout occured!	    1004.8	       147	
                                          SOR	 0.47	    Timeout occured!	    1002.2	       146	
                                          SOR	 0.48	    Timeout occured!	   1005.28	       139	
                                          SOR	 0.49	    Timeout occured!	   1001.24	       138	
                                          SOR	  0.5	    Timeout occured!	   1004.88	       135	
                                          SOR	 0.51	    Timeout occured!	   1003.68	       142	
