       Gradient method without preconditioner	  0.1	    Compute complete	   0.11333	        41	
       Gradient method without preconditioner	 0.11	    Compute complete	  0.114842	        41	
       Gradient method without preconditioner	 0.12	    Compute complete	  0.108518	        41	
       Gradient method without preconditioner	 0.13	    Compute complete	  0.108905	        41	
       Gradient method without preconditioner	 0.14	    Compute complete	   0.10866	        41	
       Gradient method without preconditioner	 0.15	    Compute complete	   0.10876	        41	
       Gradient method without preconditioner	 0.16	    Compute complete	  0.108365	        41	
       Gradient method without preconditioner	 0.17	    Compute complete	  0.108164	        41	
       Gradient method without preconditioner	 0.18	    Compute complete	  0.108075	        41	
       Gradient method without preconditioner	 0.19	    Compute complete	   0.10816	        41	
       Gradient method without preconditioner	  0.2	    Compute complete	  0.107308	        41	
       Gradient method without preconditioner	 0.21	    Compute complete	  0.107406	        41	
       Gradient method without preconditioner	 0.22	    Compute complete	  0.107349	        41	
       Gradient method without preconditioner	 0.23	    Compute complete	  0.107676	        41	
       Gradient method without preconditioner	 0.24	    Compute complete	  0.139706	        41	
       Gradient method without preconditioner	 0.25	    Compute complete	  0.107727	        41	
       Gradient method without preconditioner	 0.26	    Compute complete	  0.107654	        41	
       Gradient method without preconditioner	 0.27	    Compute complete	  0.107701	        41	
       Gradient method without preconditioner	 0.28	    Compute complete	  0.107986	        41	
       Gradient method without preconditioner	 0.29	    Compute complete	  0.108273	        41	
       Gradient method without preconditioner	  0.3	    Compute complete	  0.116815	        41	
       Gradient method without preconditioner	 0.31	    Compute complete	  0.108007	        41	
       Gradient method without preconditioner	 0.32	    Compute complete	  0.107759	        41	
       Gradient method without preconditioner	 0.33	    Compute complete	  0.108103	        41	
       Gradient method without preconditioner	 0.34	    Compute complete	  0.107943	        41	
       Gradient method without preconditioner	 0.35	    Compute complete	  0.107423	        41	
       Gradient method without preconditioner	 0.36	    Compute complete	  0.107302	        41	
       Gradient method without preconditioner	 0.37	    Compute complete	  0.107951	        41	
       Gradient method without preconditioner	 0.38	    Compute complete	  0.108102	        41	
       Gradient method without preconditioner	 0.39	    Compute complete	  0.107572	        41	
       Gradient method without preconditioner	  0.4	    Compute complete	  0.107279	        41	
       Gradient method without preconditioner	 0.41	    Compute complete	  0.107402	        41	
       Gradient method without preconditioner	 0.42	    Compute complete	  0.107279	        41	
       Gradient method without preconditioner	 0.43	    Compute complete	  0.107496	        41	
       Gradient method without preconditioner	 0.44	    Compute complete	  0.107506	        41	
       Gradient method without preconditioner	 0.45	    Compute complete	  0.107517	        41	
       Gradient method without preconditioner	 0.46	    Compute complete	  0.107967	        41	
       Gradient method without preconditioner	 0.47	    Compute complete	  0.109121	        41	
       Gradient method without preconditioner	 0.48	    Compute complete	  0.107557	        41	
       Gradient method without preconditioner	 0.49	    Compute complete	  0.107635	        41	
       Gradient method without preconditioner	  0.5	    Compute complete	  0.108038	        41	
       Gradient method without preconditioner	 0.51	    Compute complete	  0.107772	        41	
       Gradient method without preconditioner	 0.52	    Compute complete	  0.107751	        41	
       Gradient method without preconditioner	 0.53	    Compute complete	  0.107912	        41	
       Gradient method without preconditioner	 0.54	    Compute complete	  0.131371	        41	
       Gradient method without preconditioner	 0.55	    Compute complete	  0.108543	        41	
       Gradient method without preconditioner	 0.56	    Compute complete	  0.107954	        41	
       Gradient method without preconditioner	 0.57	    Compute complete	  0.107874	        41	
       Gradient method without preconditioner	 0.58	    Compute complete	  0.116578	        41	
       Gradient method without preconditioner	 0.59	    Compute complete	   0.10824	        41	
       Gradient method without preconditioner	  0.6	    Compute complete	  0.107284	        41	
       Gradient method without preconditioner	 0.61	    Compute complete	  0.107665	        41	
       Gradient method without preconditioner	 0.62	    Compute complete	  0.107278	        41	
       Gradient method without preconditioner	 0.63	    Compute complete	  0.107592	        41	
       Gradient method without preconditioner	 0.64	    Compute complete	  0.106824	        41	
       Gradient method without preconditioner	 0.65	    Compute complete	   0.10726	        41	
       Gradient method without preconditioner	 0.66	    Compute complete	  0.108921	        41	
       Gradient method without preconditioner	 0.67	    Compute complete	  0.107875	        41	
       Gradient method without preconditioner	 0.68	    Compute complete	  0.160742	        41	
       Gradient method without preconditioner	 0.69	    Compute complete	  0.186023	        41	
       Gradient method without preconditioner	  0.7	    Compute complete	  0.193811	        41	
       Gradient method without preconditioner	 0.71	    Compute complete	  0.185407	        41	
       Gradient method without preconditioner	 0.72	    Compute complete	  0.157252	        41	
       Gradient method without preconditioner	 0.73	    Compute complete	  0.225902	        41	
       Gradient method without preconditioner	 0.74	    Compute complete	  0.155127	        41	
       Gradient method without preconditioner	 0.75	    Compute complete	  0.107853	        41	
       Gradient method without preconditioner	 0.76	    Compute complete	  0.108135	        41	
       Gradient method without preconditioner	 0.77	    Compute complete	   0.10739	        41	
       Gradient method without preconditioner	 0.78	    Compute complete	  0.107902	        41	
       Gradient method without preconditioner	 0.79	    Compute complete	  0.107527	        41	
       Gradient method without preconditioner	  0.8	    Compute complete	  0.107482	        41	
       Gradient method without preconditioner	 0.81	    Compute complete	   0.10754	        41	
       Gradient method without preconditioner	 0.82	    Compute complete	  0.120521	        41	
       Gradient method without preconditioner	 0.83	    Compute complete	  0.107443	        41	
       Gradient method without preconditioner	 0.84	    Compute complete	  0.107694	        41	
       Gradient method without preconditioner	 0.85	    Compute complete	  0.107431	        41	
       Gradient method without preconditioner	 0.86	    Compute complete	  0.107578	        41	
       Gradient method without preconditioner	 0.87	    Compute complete	   0.10776	        41	
       Gradient method without preconditioner	 0.88	    Compute complete	  0.107772	        41	
       Gradient method without preconditioner	 0.89	    Compute complete	  0.107571	        41	
       Gradient method without preconditioner	  0.9	    Compute complete	  0.107774	        41	
       Gradient method without preconditioner	 0.91	    Compute complete	   0.10744	        41	
       Gradient method without preconditioner	 0.92	    Compute complete	   0.10761	        41	
       Gradient method without preconditioner	 0.93	    Compute complete	  0.107561	        41	
       Gradient method without preconditioner	 0.94	    Compute complete	  0.107497	        41	
       Gradient method without preconditioner	 0.95	    Compute complete	  0.107869	        41	
       Gradient method without preconditioner	 0.96	    Compute complete	  0.108143	        41	
       Gradient method without preconditioner	 0.97	    Compute complete	  0.107644	        41	
       Gradient method without preconditioner	 0.98	    Compute complete	  0.108345	        41	
       Gradient method without preconditioner	 0.99	    Compute complete	  0.107993	        41	
       Gradient method without preconditioner	    1	    Compute complete	  0.107834	        41	
       Gradient method without preconditioner	 1.01	    Compute complete	  0.107888	        41	
       Gradient method without preconditioner	 1.02	    Compute complete	   0.10782	        41	
       Gradient method without preconditioner	 1.03	    Compute complete	  0.107844	        41	
       Gradient method without preconditioner	 1.04	    Compute complete	  0.107895	        41	
       Gradient method without preconditioner	 1.05	    Compute complete	   0.10813	        41	
       Gradient method without preconditioner	 1.06	    Compute complete	  0.108069	        41	
       Gradient method without preconditioner	 1.07	    Compute complete	  0.107883	        41	
       Gradient method without preconditioner	 1.08	    Compute complete	  0.108139	        41	
       Gradient method without preconditioner	 1.09	    Compute complete	  0.107806	        41	
       Gradient method without preconditioner	  1.1	    Compute complete	  0.113962	        41	
       Gradient method without preconditioner	 1.11	    Compute complete	  0.108071	        41	
       Gradient method without preconditioner	 1.12	    Compute complete	  0.107983	        41	
       Gradient method without preconditioner	 1.13	    Compute complete	  0.107966	        41	
       Gradient method without preconditioner	 1.14	    Compute complete	  0.107999	        41	
       Gradient method without preconditioner	 1.15	    Compute complete	   0.10834	        41	
       Gradient method without preconditioner	 1.16	    Compute complete	  0.107796	        41	
       Gradient method without preconditioner	 1.17	    Compute complete	  0.107745	        41	
       Gradient method without preconditioner	 1.18	    Compute complete	  0.107712	        41	
       Gradient method without preconditioner	 1.19	    Compute complete	  0.107899	        41	
       Gradient method without preconditioner	  1.2	    Compute complete	  0.107964	        41	
       Gradient method without preconditioner	 1.21	    Compute complete	  0.107732	        41	
       Gradient method without preconditioner	 1.22	    Compute complete	   0.10775	        41	
       Gradient method without preconditioner	 1.23	    Compute complete	  0.107769	        41	
       Gradient method without preconditioner	 1.24	    Compute complete	  0.107734	        41	
       Gradient method without preconditioner	 1.25	    Compute complete	  0.107607	        41	
       Gradient method without preconditioner	 1.26	    Compute complete	  0.108059	        41	
       Gradient method without preconditioner	 1.27	    Compute complete	  0.107712	        41	
       Gradient method without preconditioner	 1.28	    Compute complete	  0.107876	        41	
       Gradient method without preconditioner	 1.29	    Compute complete	  0.132684	        41	
       Gradient method without preconditioner	  1.3	    Compute complete	  0.108144	        41	
       Gradient method without preconditioner	 1.31	    Compute complete	   0.10809	        41	
       Gradient method without preconditioner	 1.32	    Compute complete	  0.107981	        41	
       Gradient method without preconditioner	 1.33	    Compute complete	  0.107525	        41	
       Gradient method without preconditioner	 1.34	    Compute complete	  0.107637	        41	
       Gradient method without preconditioner	 1.35	    Compute complete	  0.153925	        41	
       Gradient method without preconditioner	 1.36	    Compute complete	  0.122904	        41	
       Gradient method without preconditioner	 1.37	    Compute complete	  0.173309	        41	
       Gradient method without preconditioner	 1.38	    Compute complete	  0.140903	        41	
       Gradient method without preconditioner	 1.39	    Compute complete	  0.142518	        41	
       Gradient method without preconditioner	  1.4	    Compute complete	  0.177853	        41	
       Gradient method without preconditioner	 1.41	    Compute complete	  0.108537	        41	
       Gradient method without preconditioner	 1.42	    Compute complete	  0.107894	        41	
       Gradient method without preconditioner	 1.43	    Compute complete	  0.109258	        41	
       Gradient method without preconditioner	 1.44	    Compute complete	  0.108092	        41	
       Gradient method without preconditioner	 1.45	    Compute complete	  0.108433	        41	
       Gradient method without preconditioner	 1.46	    Compute complete	  0.108172	        41	
       Gradient method without preconditioner	 1.47	    Compute complete	  0.108493	        41	
       Gradient method without preconditioner	 1.48	    Compute complete	  0.108199	        41	
       Gradient method without preconditioner	 1.49	    Compute complete	  0.108128	        41	
       Gradient method without preconditioner	  1.5	    Compute complete	  0.107877	        41	
       Gradient method without preconditioner	 1.51	    Compute complete	  0.108032	        41	
       Gradient method without preconditioner	 1.52	    Compute complete	  0.108413	        41	
       Gradient method without preconditioner	 1.53	    Compute complete	  0.108426	        41	
       Gradient method without preconditioner	 1.54	    Compute complete	  0.108148	        41	
       Gradient method without preconditioner	 1.55	    Compute complete	  0.108597	        41	
       Gradient method without preconditioner	 1.56	    Compute complete	  0.108254	        41	
       Gradient method without preconditioner	 1.57	    Compute complete	  0.108109	        41	
       Gradient method without preconditioner	 1.58	    Compute complete	  0.108382	        41	
