       Gradient method without preconditioner	  0.1	    Compute complete	   621.344	      7227	
       Gradient method without preconditioner	 0.11	    Compute complete	    621.68	      7227	
       Gradient method without preconditioner	 0.12	    Compute complete	   618.546	      7227	
       Gradient method without preconditioner	 0.13	    Compute complete	   618.066	      7227	
       Gradient method without preconditioner	 0.14	    Compute complete	   618.966	      7227	
       Gradient method without preconditioner	 0.15	    Compute complete	   619.863	      7227	
       Gradient method without preconditioner	 0.16	    Compute complete	   617.385	      7227	
       Gradient method without preconditioner	 0.17	    Compute complete	   619.095	      7227	
       Gradient method without preconditioner	 0.18	    Compute complete	    614.07	      7227	
       Gradient method without preconditioner	 0.19	    Compute complete	   607.625	      7227	
       Gradient method without preconditioner	  0.2	    Compute complete	   600.205	      7227	
       Gradient method without preconditioner	 0.21	    Compute complete	   598.618	      7227	
       Gradient method without preconditioner	 0.22	    Compute complete	   601.129	      7227	
       Gradient method without preconditioner	 0.23	    Compute complete	    603.06	      7227	
       Gradient method without preconditioner	 0.24	    Compute complete	   600.241	      7227	
       Gradient method without preconditioner	 0.25	    Compute complete	   601.088	      7227	
       Gradient method without preconditioner	 0.26	    Compute complete	    600.96	      7227	
       Gradient method without preconditioner	 0.27	    Compute complete	    601.62	      7227	
       Gradient method without preconditioner	 0.28	    Compute complete	   603.117	      7227	
       Gradient method without preconditioner	 0.29	    Compute complete	   603.455	      7227	
       Gradient method without preconditioner	  0.3	    Compute complete	   625.547	      7227	
       Gradient method without preconditioner	 0.31	    Compute complete	   609.062	      7227	
       Gradient method without preconditioner	 0.32	    Compute complete	   627.092	      7227	
       Gradient method without preconditioner	 0.33	    Compute complete	   613.425	      7227	
       Gradient method without preconditioner	 0.34	    Compute complete	   758.848	      7227	
       Gradient method without preconditioner	 0.35	    Compute complete	   680.703	      7227	
       Gradient method without preconditioner	 0.36	    Compute complete	   651.794	      7227	
       Gradient method without preconditioner	 0.37	    Compute complete	   651.753	      7227	
       Gradient method without preconditioner	 0.38	    Compute complete	   842.308	      7227	
       Gradient method without preconditioner	 0.39	    Compute complete	   626.766	      7227	
       Gradient method without preconditioner	  0.4	    Compute complete	   669.434	      7227	
       Gradient method without preconditioner	 0.41	    Compute complete	   651.627	      7227	
       Gradient method without preconditioner	 0.42	    Compute complete	   660.763	      7227	
       Gradient method without preconditioner	 0.43	    Compute complete	   619.971	      7227	
       Gradient method without preconditioner	 0.44	    Compute complete	   608.357	      7227	
       Gradient method without preconditioner	 0.45	    Compute complete	   617.059	      7227	
       Gradient method without preconditioner	 0.46	    Compute complete	   600.435	      7227	
       Gradient method without preconditioner	 0.47	    Compute complete	    608.46	      7227	
       Gradient method without preconditioner	 0.48	    Compute complete	   671.643	      7227	
       Gradient method without preconditioner	 0.49	    Compute complete	   623.907	      7227	
       Gradient method without preconditioner	  0.5	    Compute complete	   653.015	      7227	
       Gradient method without preconditioner	 0.51	    Compute complete	   630.314	      7227	
       Gradient method without preconditioner	 0.52	    Compute complete	   604.118	      7227	
       Gradient method without preconditioner	 0.53	    Compute complete	   655.808	      7227	
       Gradient method without preconditioner	 0.54	    Compute complete	   635.782	      7227	
       Gradient method without preconditioner	 0.55	    Compute complete	   637.828	      7227	
       Gradient method without preconditioner	 0.56	    Compute complete	   614.391	      7227	
       Gradient method without preconditioner	 0.57	    Compute complete	       656	      7227	
       Gradient method without preconditioner	 0.58	    Compute complete	   663.309	      7227	
       Gradient method without preconditioner	 0.59	    Compute complete	   654.018	      7227	
       Gradient method without preconditioner	  0.6	    Compute complete	   626.212	      7227	
       Gradient method without preconditioner	 0.61	    Compute complete	   614.588	      7227	
       Gradient method without preconditioner	 0.62	    Compute complete	   636.272	      7227	
       Gradient method without preconditioner	 0.63	    Compute complete	   605.057	      7227	
       Gradient method without preconditioner	 0.64	    Compute complete	   706.681	      7227	
       Gradient method without preconditioner	 0.65	    Compute complete	   651.307	      7227	
       Gradient method without preconditioner	 0.66	    Compute complete	   625.404	      7227	
       Gradient method without preconditioner	 0.67	    Compute complete	   631.001	      7227	
       Gradient method without preconditioner	 0.68	    Compute complete	   755.668	      7227	
       Gradient method without preconditioner	 0.69	    Compute complete	   732.075	      7227	
       Gradient method without preconditioner	  0.7	    Compute complete	       658	      7227	
       Gradient method without preconditioner	 0.71	    Compute complete	    672.59	      7227	
       Gradient method without preconditioner	 0.72	    Compute complete	   660.592	      7227	
       Gradient method without preconditioner	 0.73	    Compute complete	   617.356	      7227	
       Gradient method without preconditioner	 0.74	    Compute complete	   634.666	      7227	
       Gradient method without preconditioner	 0.75	    Compute complete	   618.523	      7227	
       Gradient method without preconditioner	 0.76	    Compute complete	   685.057	      7227	
       Gradient method without preconditioner	 0.77	    Compute complete	   641.889	      7227	
       Gradient method without preconditioner	 0.78	    Compute complete	   701.301	      7227	
       Gradient method without preconditioner	 0.79	    Compute complete	   603.904	      7227	
       Gradient method without preconditioner	  0.8	    Compute complete	   631.317	      7227	
       Gradient method without preconditioner	 0.81	    Compute complete	   644.436	      7227	
       Gradient method without preconditioner	 0.82	    Compute complete	   610.742	      7227	
       Gradient method without preconditioner	 0.83	    Compute complete	   629.129	      7227	
       Gradient method without preconditioner	 0.84	    Compute complete	   626.687	      7227	
       Gradient method without preconditioner	 0.85	    Compute complete	   598.559	      7227	
       Gradient method without preconditioner	 0.86	    Compute complete	   609.743	      7227	
       Gradient method without preconditioner	 0.87	    Compute complete	   599.279	      7227	
       Gradient method without preconditioner	 0.88	    Compute complete	   643.622	      7227	
       Gradient method without preconditioner	 0.89	    Compute complete	   638.462	      7227	
       Gradient method without preconditioner	  0.9	    Compute complete	   624.518	      7227	
       Gradient method without preconditioner	 0.91	    Compute complete	   609.029	      7227	
       Gradient method without preconditioner	 0.92	    Compute complete	   600.995	      7227	
       Gradient method without preconditioner	 0.93	    Compute complete	   624.938	      7227	
       Gradient method without preconditioner	 0.94	    Compute complete	   614.727	      7227	
       Gradient method without preconditioner	 0.95	    Compute complete	   604.874	      7227	
       Gradient method without preconditioner	 0.96	    Compute complete	   606.105	      7227	
