          Jacobi method without dynamic relax	    1	    Compute complete	  0.057423	        25	
            Jacobi method with sub-relaxation	  0.1	    Compute complete	  0.471663	       260	
            Jacobi method with sub-relaxation	 0.11	    Compute complete	  0.432054	       238	
            Jacobi method with sub-relaxation	 0.12	    Compute complete	  0.396939	       219	
            Jacobi method with sub-relaxation	 0.13	    Compute complete	  0.382024	       203	
            Jacobi method with sub-relaxation	 0.14	    Compute complete	  0.602325	       189	
            Jacobi method with sub-relaxation	 0.15	    Compute complete	  0.537182	       177	
            Jacobi method with sub-relaxation	 0.16	    Compute complete	   0.34023	       166	
            Jacobi method with sub-relaxation	 0.17	    Compute complete	  0.285051	       157	
            Jacobi method with sub-relaxation	 0.18	    Compute complete	  0.280968	       148	
            Jacobi method with sub-relaxation	 0.19	    Compute complete	  0.255466	       141	
            Jacobi method with sub-relaxation	  0.2	    Compute complete	    0.2548	       134	
            Jacobi method with sub-relaxation	 0.21	    Compute complete	  0.240306	       128	
            Jacobi method with sub-relaxation	 0.22	    Compute complete	  0.224371	       122	
            Jacobi method with sub-relaxation	 0.23	    Compute complete	  0.212578	       117	
            Jacobi method with sub-relaxation	 0.24	    Compute complete	  0.205746	       112	
            Jacobi method with sub-relaxation	 0.25	    Compute complete	  0.195959	       108	
            Jacobi method with sub-relaxation	 0.26	    Compute complete	  0.191714	       104	
            Jacobi method with sub-relaxation	 0.27	    Compute complete	  0.183016	       100	
            Jacobi method with sub-relaxation	 0.28	    Compute complete	  0.179275	        96	
            Jacobi method with sub-relaxation	 0.29	    Compute complete	  0.169697	        93	
            Jacobi method with sub-relaxation	  0.3	    Compute complete	  0.166191	        90	
            Jacobi method with sub-relaxation	 0.31	    Compute complete	  0.159915	        87	
            Jacobi method with sub-relaxation	 0.32	    Compute complete	   0.23286	        84	
            Jacobi method with sub-relaxation	 0.33	    Compute complete	   0.28296	        82	
            Jacobi method with sub-relaxation	 0.34	    Compute complete	  0.162196	        79	
            Jacobi method with sub-relaxation	 0.35	    Compute complete	  0.141075	        77	
            Jacobi method with sub-relaxation	 0.36	    Compute complete	  0.140056	        75	
            Jacobi method with sub-relaxation	 0.37	    Compute complete	  0.133699	        73	
            Jacobi method with sub-relaxation	 0.38	    Compute complete	   0.13292	        71	
            Jacobi method with sub-relaxation	 0.39	    Compute complete	  0.126621	        69	
            Jacobi method with sub-relaxation	  0.4	    Compute complete	  0.132078	        67	
            Jacobi method with sub-relaxation	 0.41	    Compute complete	  0.121329	        66	
            Jacobi method with sub-relaxation	 0.42	    Compute complete	  0.118948	        64	
            Jacobi method with sub-relaxation	 0.43	    Compute complete	  0.115261	        63	
            Jacobi method with sub-relaxation	 0.44	    Compute complete	   0.11391	        61	
            Jacobi method with sub-relaxation	 0.45	    Compute complete	  0.110218	        60	
            Jacobi method with sub-relaxation	 0.46	    Compute complete	  0.108214	        58	
            Jacobi method with sub-relaxation	 0.47	    Compute complete	  0.104516	        57	
            Jacobi method with sub-relaxation	 0.48	    Compute complete	  0.104541	        56	
            Jacobi method with sub-relaxation	 0.49	    Compute complete	  0.101122	        55	
            Jacobi method with sub-relaxation	  0.5	    Compute complete	   0.09913	        53	
            Jacobi method with sub-relaxation	 0.51	    Compute complete	  0.095806	        52	
            Jacobi method with sub-relaxation	 0.52	    Compute complete	  0.096358	        51	
            Jacobi method with sub-relaxation	 0.53	    Compute complete	  0.092108	        50	
            Jacobi method with sub-relaxation	 0.54	    Compute complete	  0.092553	        49	
            Jacobi method with sub-relaxation	 0.55	    Compute complete	  0.088699	        48	
            Jacobi method with sub-relaxation	 0.56	    Compute complete	  0.093404	        47	
            Jacobi method with sub-relaxation	 0.57	    Compute complete	  0.093178	        46	
            Jacobi method with sub-relaxation	 0.58	    Compute complete	  0.087124	        46	
            Jacobi method with sub-relaxation	 0.59	    Compute complete	  0.082677	        45	
            Jacobi method with sub-relaxation	  0.6	    Compute complete	  0.084548	        44	
            Jacobi method with sub-relaxation	 0.61	    Compute complete	  0.079511	        43	
            Jacobi method with sub-relaxation	 0.62	    Compute complete	  0.079598	        42	
            Jacobi method with sub-relaxation	 0.63	    Compute complete	  0.077603	        42	
            Jacobi method with sub-relaxation	 0.64	    Compute complete	  0.077965	        41	
            Jacobi method with sub-relaxation	 0.65	    Compute complete	  0.073592	        40	
            Jacobi method with sub-relaxation	 0.66	    Compute complete	  0.075923	        40	
            Jacobi method with sub-relaxation	 0.67	    Compute complete	  0.072172	        39	
            Jacobi method with sub-relaxation	 0.68	    Compute complete	  0.073833	        38	
            Jacobi method with sub-relaxation	 0.69	    Compute complete	  0.070116	        38	
            Jacobi method with sub-relaxation	  0.7	    Compute complete	  0.071258	        37	
            Jacobi method with sub-relaxation	 0.71	    Compute complete	  0.067276	        36	
            Jacobi method with sub-relaxation	 0.72	    Compute complete	  0.076022	        36	
            Jacobi method with sub-relaxation	 0.73	    Compute complete	  0.064937	        35	
            Jacobi method with sub-relaxation	 0.74	    Compute complete	   0.07219	        35	
            Jacobi method with sub-relaxation	 0.75	    Compute complete	  0.062738	        34	
            Jacobi method with sub-relaxation	 0.76	    Compute complete	  0.065496	        34	
            Jacobi method with sub-relaxation	 0.77	    Compute complete	  0.061519	        33	
            Jacobi method with sub-relaxation	 0.78	    Compute complete	  0.063571	        33	
            Jacobi method with sub-relaxation	 0.79	    Compute complete	  0.059565	        32	
