          Jacobi method without dynamic relax	    1	    Compute complete	   318.561	      3274	
            Jacobi method with sub-relaxation	  0.1	    Timeout occured!	   1000.08	     10605	
            Jacobi method with sub-relaxation	 0.11	    Timeout occured!	   1000.09	     10609	
            Jacobi method with sub-relaxation	 0.12	    Timeout occured!	   1000.02	     10598	
            Jacobi method with sub-relaxation	 0.13	    Timeout occured!	   1000.05	     10670	
            Jacobi method with sub-relaxation	 0.14	    Timeout occured!	   1000.03	     10910	
            Jacobi method with sub-relaxation	 0.15	    Timeout occured!	   1000.02	     10888	
            Jacobi method with sub-relaxation	 0.16	    Timeout occured!	   1000.02	     10921	
            Jacobi method with sub-relaxation	 0.17	    Timeout occured!	   1000.07	     10916	
            Jacobi method with sub-relaxation	 0.18	    Timeout occured!	   1000.07	     10951	
            Jacobi method with sub-relaxation	 0.19	    Timeout occured!	   1000.07	     10932	
            Jacobi method with sub-relaxation	  0.2	    Timeout occured!	   1000.06	     10957	
            Jacobi method with sub-relaxation	 0.21	    Timeout occured!	   1000.03	     10914	
            Jacobi method with sub-relaxation	 0.22	    Timeout occured!	   1000.09	     10896	
            Jacobi method with sub-relaxation	 0.23	    Timeout occured!	   1000.05	     10914	
            Jacobi method with sub-relaxation	 0.24	    Timeout occured!	   1000.03	     10927	
            Jacobi method with sub-relaxation	 0.25	    Timeout occured!	   1000.01	     10897	
            Jacobi method with sub-relaxation	 0.26	    Timeout occured!	   1000.02	     10939	
            Jacobi method with sub-relaxation	 0.27	    Timeout occured!	   1000.07	     10919	
            Jacobi method with sub-relaxation	 0.28	    Timeout occured!	   1000.02	     10892	
            Jacobi method with sub-relaxation	 0.29	    Timeout occured!	   1000.03	     10897	
            Jacobi method with sub-relaxation	  0.3	    Timeout occured!	   1000.08	     10895	
            Jacobi method with sub-relaxation	 0.31	    Timeout occured!	   1000.02	     10908	
            Jacobi method with sub-relaxation	 0.32	    Timeout occured!	   1000.02	     10917	
            Jacobi method with sub-relaxation	 0.33	    Timeout occured!	   1000.08	     10891	
            Jacobi method with sub-relaxation	 0.34	    Timeout occured!	   1000.02	     10941	
            Jacobi method with sub-relaxation	 0.35	    Timeout occured!	   1000.04	     10720	
            Jacobi method with sub-relaxation	 0.36	    Timeout occured!	   1000.04	      9377	
            Jacobi method with sub-relaxation	 0.37	    Timeout occured!	   1000.04	     10317	
            Jacobi method with sub-relaxation	 0.38	    Timeout occured!	   1000.08	     10378	
            Jacobi method with sub-relaxation	 0.39	    Timeout occured!	   1000.04	      9643	
            Jacobi method with sub-relaxation	  0.4	    Timeout occured!	   1000.06	      9777	
            Jacobi method with sub-relaxation	 0.41	    Timeout occured!	   1000.09	      9745	
            Jacobi method with sub-relaxation	 0.42	    Timeout occured!	   1000.07	     10860	
            Jacobi method with sub-relaxation	 0.43	    Timeout occured!	   1000.08	     10849	
            Jacobi method with sub-relaxation	 0.44	    Timeout occured!	   1000.04	     10882	
            Jacobi method with sub-relaxation	 0.45	    Timeout occured!	   1000.11	     10801	
            Jacobi method with sub-relaxation	 0.46	    Timeout occured!	   1000.08	     10853	
            Jacobi method with sub-relaxation	 0.47	    Timeout occured!	   1000.01	     10868	
            Jacobi method with sub-relaxation	 0.48	    Timeout occured!	   1000.01	     10879	
            Jacobi method with sub-relaxation	 0.49	    Timeout occured!	   1000.05	     10852	
            Jacobi method with sub-relaxation	  0.5	    Timeout occured!	   1000.03	     10882	
            Jacobi method with sub-relaxation	 0.51	    Compute complete	   985.061	     10705	
            Jacobi method with sub-relaxation	 0.52	    Compute complete	   970.747	     10506	
            Jacobi method with sub-relaxation	 0.53	    Compute complete	   951.753	     10314	
            Jacobi method with sub-relaxation	 0.54	    Compute complete	   935.263	     10129	
            Jacobi method with sub-relaxation	 0.55	    Compute complete	   915.444	      9950	
            Jacobi method with sub-relaxation	 0.56	    Compute complete	   903.277	      9778	
            Jacobi method with sub-relaxation	 0.57	    Compute complete	   913.493	      9612	
            Jacobi method with sub-relaxation	 0.58	    Compute complete	   871.798	      9452	
            Jacobi method with sub-relaxation	 0.59	    Compute complete	   906.683	      9296	
            Jacobi method with sub-relaxation	  0.6	    Compute complete	    923.32	      9146	
            Jacobi method with sub-relaxation	 0.61	    Compute complete	   910.111	      9001	
            Jacobi method with sub-relaxation	 0.62	    Compute complete	   879.076	      8860	
            Jacobi method with sub-relaxation	 0.63	    Compute complete	   946.797	      8724	
            Jacobi method with sub-relaxation	 0.64	    Compute complete	   813.872	      8592	
            Jacobi method with sub-relaxation	 0.65	    Compute complete	   901.114	      8464	
            Jacobi method with sub-relaxation	 0.66	    Compute complete	   816.594	      8340	
            Jacobi method with sub-relaxation	 0.67	    Timeout occured!	   1000.04	      8010	
            Jacobi method with sub-relaxation	 0.68	    Timeout occured!	   1000.08	      7537	
            Jacobi method with sub-relaxation	 0.69	    Compute complete	   843.476	      7988	
            Jacobi method with sub-relaxation	  0.7	    Compute complete	   726.737	      7878	
            Jacobi method with sub-relaxation	 0.71	    Compute complete	   719.203	      7770	
            Jacobi method with sub-relaxation	 0.72	    Compute complete	   708.332	      7665	
            Jacobi method with sub-relaxation	 0.73	    Compute complete	   698.827	      7564	
            Jacobi method with sub-relaxation	 0.74	    Compute complete	   695.799	      7465	
            Jacobi method with sub-relaxation	 0.75	    Compute complete	   703.945	      7368	
            Jacobi method with sub-relaxation	 0.76	    Compute complete	   868.079	      7274	
            Jacobi method with sub-relaxation	 0.77	    Compute complete	   658.271	      7183	
            Jacobi method with sub-relaxation	 0.78	    Compute complete	   653.149	      7093	
            Jacobi method with sub-relaxation	 0.79	    Compute complete	   642.582	      7006	
            Jacobi method with sub-relaxation	  0.8	    Compute complete	    732.24	      6921	
            Jacobi method with sub-relaxation	 0.81	    Compute complete	   684.342	      6839	
            Jacobi method with sub-relaxation	 0.82	    Compute complete	    626.51	      6758	
            Jacobi method with sub-relaxation	 0.83	    Compute complete	   611.176	      6679	
            Jacobi method with sub-relaxation	 0.84	    Compute complete	   612.974	      6602	
            Jacobi method with sub-relaxation	 0.85	    Compute complete	    599.03	      6526	
            Jacobi method with sub-relaxation	 0.86	    Compute complete	   634.884	      6453	
            Jacobi method with sub-relaxation	 0.87	    Compute complete	   598.598	      6381	
            Jacobi method with sub-relaxation	 0.88	    Compute complete	   583.315	      6311	
            Jacobi method with sub-relaxation	 0.89	    Compute complete	   576.682	      6242	
            Jacobi method with sub-relaxation	  0.9	    Timeout occured!	   1000.05	     10666	
            Jacobi method with sub-relaxation	 0.91	    Timeout occured!	   1000.05	     10765	
