                               MINRES: Jacobi	  0.1	    Compute complete	  0.120781	        17	
                               MINRES: Jacobi	 0.11	    Compute complete	   0.11438	        17	
                               MINRES: Jacobi	 0.12	    Compute complete	  0.124214	        17	
                               MINRES: Jacobi	 0.13	    Compute complete	  0.114563	        17	
                               MINRES: Jacobi	 0.14	    Compute complete	  0.175406	        17	
                               MINRES: Jacobi	 0.15	    Compute complete	  0.211092	        17	
                               MINRES: Jacobi	 0.16	    Compute complete	  0.196826	        17	
                               MINRES: Jacobi	 0.17	    Compute complete	  0.201646	        17	
                               MINRES: Jacobi	 0.18	    Compute complete	  0.197269	        17	
                               MINRES: Jacobi	 0.19	    Compute complete	  0.199747	        17	
                               MINRES: Jacobi	  0.2	    Compute complete	  0.196726	        17	
                               MINRES: Jacobi	 0.21	    Compute complete	  0.199696	        17	
                               MINRES: Jacobi	 0.22	    Compute complete	  0.196285	        17	
                               MINRES: Jacobi	 0.23	    Compute complete	  0.198925	        17	
                               MINRES: Jacobi	 0.24	    Compute complete	  0.196616	        17	
                               MINRES: Jacobi	 0.25	    Compute complete	   0.19918	        17	
                               MINRES: Jacobi	 0.26	    Compute complete	  0.196562	        17	
                               MINRES: Jacobi	 0.27	    Compute complete	  0.200093	        17	
                               MINRES: Jacobi	 0.28	    Compute complete	  0.199355	        17	
                               MINRES: Jacobi	 0.29	    Compute complete	  0.201216	        17	
                               MINRES: Jacobi	  0.3	    Compute complete	   0.19919	        17	
                               MINRES: Jacobi	 0.31	    Compute complete	  0.181215	        17	
                               MINRES: Jacobi	 0.32	    Compute complete	  0.113323	        17	
                               MINRES: Jacobi	 0.33	    Compute complete	  0.114481	        17	
                               MINRES: Jacobi	 0.34	    Compute complete	   0.11171	        17	
                               MINRES: Jacobi	 0.35	    Compute complete	  0.113764	        17	
                               MINRES: Jacobi	 0.36	    Compute complete	  0.111314	        17	
                               MINRES: Jacobi	 0.37	    Compute complete	  0.113814	        17	
                               MINRES: Jacobi	 0.38	    Compute complete	  0.111436	        17	
                               MINRES: Jacobi	 0.39	    Compute complete	  0.114236	        17	
                               MINRES: Jacobi	  0.4	    Compute complete	  0.111885	        17	
                               MINRES: Jacobi	 0.41	    Compute complete	  0.113613	        17	
                               MINRES: Jacobi	 0.42	    Compute complete	  0.112411	        17	
                               MINRES: Jacobi	 0.43	    Compute complete	  0.115448	        17	
                               MINRES: Jacobi	 0.44	    Compute complete	  0.111799	        17	
                               MINRES: Jacobi	 0.45	    Compute complete	  0.114082	        17	
                               MINRES: Jacobi	 0.46	    Compute complete	  0.112683	        17	
                               MINRES: Jacobi	 0.47	    Compute complete	  0.121006	        17	
                               MINRES: Jacobi	 0.48	    Compute complete	  0.111945	        17	
                               MINRES: Jacobi	 0.49	    Compute complete	  0.113781	        17	
                               MINRES: Jacobi	  0.5	    Compute complete	  0.111802	        17	
                               MINRES: Jacobi	 0.51	    Compute complete	  0.113768	        17	
                               MINRES: Jacobi	 0.52	    Compute complete	  0.112166	        17	
                               MINRES: Jacobi	 0.53	    Compute complete	  0.114598	        17	
                               MINRES: Jacobi	 0.54	    Compute complete	   0.11194	        17	
                               MINRES: Jacobi	 0.55	    Compute complete	  0.114595	        17	
                               MINRES: Jacobi	 0.56	    Compute complete	  0.162203	        17	
                               MINRES: Jacobi	 0.57	    Compute complete	  0.201977	        17	
                               MINRES: Jacobi	 0.58	    Compute complete	  0.195269	        17	
                               MINRES: Jacobi	 0.59	    Compute complete	  0.157253	        17	
                               MINRES: Jacobi	  0.6	    Compute complete	  0.159472	        17	
                               MINRES: Jacobi	 0.61	    Compute complete	  0.160531	        17	
                               MINRES: Jacobi	 0.62	    Compute complete	  0.112154	        17	
                               MINRES: Jacobi	 0.63	    Compute complete	  0.114584	        17	
                               MINRES: Jacobi	 0.64	    Compute complete	  0.111789	        17	
                               MINRES: Jacobi	 0.65	    Compute complete	   0.11445	        17	
                               MINRES: Jacobi	 0.66	    Compute complete	  0.111941	        17	
                               MINRES: Jacobi	 0.67	    Compute complete	   0.11352	        17	
                               MINRES: Jacobi	 0.68	    Compute complete	    0.1112	        17	
                               MINRES: Jacobi	 0.69	    Compute complete	  0.113286	        17	
                               MINRES: Jacobi	  0.7	    Compute complete	  0.111431	        17	
                               MINRES: Jacobi	 0.71	    Compute complete	   0.11408	        17	
                               MINRES: Jacobi	 0.72	    Compute complete	  0.111531	        17	
                               MINRES: Jacobi	 0.73	    Compute complete	  0.114634	        17	
                               MINRES: Jacobi	 0.74	    Compute complete	  0.111578	        17	
                               MINRES: Jacobi	 0.75	    Compute complete	  0.114294	        17	
                               MINRES: Jacobi	 0.76	    Compute complete	  0.111648	        17	
                               MINRES: Jacobi	 0.77	    Compute complete	  0.113839	        17	
                               MINRES: Jacobi	 0.78	    Compute complete	  0.111565	        17	
                               MINRES: Jacobi	 0.79	    Compute complete	  0.120648	        17	
                               MINRES: Jacobi	  0.8	    Compute complete	  0.111676	        17	
                               MINRES: Jacobi	 0.81	    Compute complete	  0.114953	        17	
                               MINRES: Jacobi	 0.82	    Compute complete	  0.111557	        17	
                               MINRES: Jacobi	 0.83	    Compute complete	  0.113516	        17	
                               MINRES: Jacobi	 0.84	    Compute complete	  0.111485	        17	
                               MINRES: Jacobi	 0.85	    Compute complete	  0.118268	        17	
                               MINRES: Jacobi	 0.86	    Compute complete	  0.111683	        17	
                               MINRES: Jacobi	 0.87	    Compute complete	  0.114074	        17	
                               MINRES: Jacobi	 0.88	    Compute complete	  0.111982	        17	
                               MINRES: Jacobi	 0.89	    Compute complete	  0.113924	        17	
                               MINRES: Jacobi	  0.9	    Compute complete	  0.111991	        17	
                               MINRES: Jacobi	 0.91	    Compute complete	  0.114875	        17	
                               MINRES: Jacobi	 0.92	    Compute complete	  0.111502	        17	
                               MINRES: Jacobi	 0.93	    Compute complete	  0.113326	        17	
                               MINRES: Jacobi	 0.94	    Compute complete	  0.111776	        17	
                               MINRES: Jacobi	 0.95	    Compute complete	  0.113764	        17	
                               MINRES: Jacobi	 0.96	    Compute complete	  0.112008	        17	
                               MINRES: Jacobi	 0.97	    Compute complete	  0.113734	        17	
                               MINRES: Jacobi	 0.98	    Compute complete	  0.111458	        17	
                               MINRES: Jacobi	 0.99	    Compute complete	  0.113886	        17	
                         MINRES: Gauss-Seidel	    1	    Compute complete	  0.160352	        10	
                         MINRES: Gauss-Seidel	 1.01	    Compute complete	  0.153405	        10	
                         MINRES: Gauss-Seidel	 1.02	    Compute complete	  0.144581	        10	
                         MINRES: Gauss-Seidel	 1.03	    Compute complete	  0.146145	        10	
                         MINRES: Gauss-Seidel	 1.04	    Compute complete	  0.150284	        10	
                         MINRES: Gauss-Seidel	 1.05	    Compute complete	  0.146323	        10	
                         MINRES: Gauss-Seidel	 1.06	    Compute complete	  0.143249	        10	
                         MINRES: Gauss-Seidel	 1.07	    Compute complete	  0.152728	        10	
                         MINRES: Gauss-Seidel	 1.08	    Compute complete	  0.144453	        10	
                         MINRES: Gauss-Seidel	 1.09	    Compute complete	  0.146471	        10	
                         MINRES: Gauss-Seidel	  1.1	    Compute complete	  0.151653	        10	
                         MINRES: Gauss-Seidel	 1.11	    Compute complete	  0.148158	        10	
                         MINRES: Gauss-Seidel	 1.12	    Compute complete	  0.143408	        10	
                         MINRES: Gauss-Seidel	 1.13	    Compute complete	  0.153385	        10	
                         MINRES: Gauss-Seidel	 1.14	    Compute complete	  0.145213	        10	
                         MINRES: Gauss-Seidel	 1.15	    Compute complete	  0.146144	        10	
                         MINRES: Gauss-Seidel	 1.16	    Compute complete	  0.151669	        10	
                         MINRES: Gauss-Seidel	 1.17	    Compute complete	  0.147297	        10	
                         MINRES: Gauss-Seidel	 1.18	    Compute complete	  0.144265	        10	
                         MINRES: Gauss-Seidel	 1.19	    Compute complete	  0.153343	        10	
                         MINRES: Gauss-Seidel	  1.2	    Compute complete	  0.144444	        10	
                         MINRES: Gauss-Seidel	 1.21	    Compute complete	  0.153124	        10	
                         MINRES: Gauss-Seidel	 1.22	    Compute complete	  0.144732	        10	
                         MINRES: Gauss-Seidel	 1.23	    Compute complete	  0.147639	        10	
                         MINRES: Gauss-Seidel	 1.24	    Compute complete	  0.150969	        10	
                         MINRES: Gauss-Seidel	 1.25	    Compute complete	  0.147644	        10	
                         MINRES: Gauss-Seidel	 1.26	    Compute complete	  0.144854	        10	
                         MINRES: Gauss-Seidel	 1.27	    Compute complete	  0.152904	        10	
                         MINRES: Gauss-Seidel	 1.28	    Compute complete	  0.145238	        10	
                         MINRES: Gauss-Seidel	 1.29	    Compute complete	   0.14689	        10	
                         MINRES: Gauss-Seidel	  1.3	    Compute complete	  0.150581	        10	
                         MINRES: Gauss-Seidel	 1.31	    Compute complete	  0.147251	        10	
                         MINRES: Gauss-Seidel	 1.32	    Compute complete	  0.143611	        10	
                         MINRES: Gauss-Seidel	 1.33	    Compute complete	  0.153434	        10	
                         MINRES: Gauss-Seidel	 1.34	    Compute complete	  0.144834	        10	
                         MINRES: Gauss-Seidel	 1.35	    Compute complete	  0.145968	        10	
                         MINRES: Gauss-Seidel	 1.36	    Compute complete	  0.151292	        10	
                         MINRES: Gauss-Seidel	 1.37	    Compute complete	  0.146437	        10	
                         MINRES: Gauss-Seidel	 1.38	    Compute complete	  0.143371	        10	
                         MINRES: Gauss-Seidel	 1.39	    Compute complete	   0.15905	        10	
                         MINRES: Gauss-Seidel	  1.4	    Compute complete	  0.144738	        10	
                         MINRES: Gauss-Seidel	 1.41	    Compute complete	  0.145808	        10	
                         MINRES: Gauss-Seidel	 1.42	    Compute complete	  0.150039	        10	
                         MINRES: Gauss-Seidel	 1.43	    Compute complete	  0.147191	        10	
                         MINRES: Gauss-Seidel	 1.44	    Compute complete	  0.146768	        10	
                         MINRES: Gauss-Seidel	 1.45	    Compute complete	    0.1534	        10	
                         MINRES: Gauss-Seidel	 1.46	    Compute complete	  0.144452	        10	
                         MINRES: Gauss-Seidel	 1.47	    Compute complete	  0.146195	        10	
                         MINRES: Gauss-Seidel	 1.48	    Compute complete	  0.152351	        10	
                         MINRES: Gauss-Seidel	 1.49	    Compute complete	   0.14966	        10	
                         MINRES: Gauss-Seidel	  1.5	    Compute complete	  0.144767	        10	
                         MINRES: Gauss-Seidel	 1.51	    Compute complete	   0.15363	        10	
                         MINRES: Gauss-Seidel	 1.52	    Compute complete	   0.14349	        10	
                         MINRES: Gauss-Seidel	 1.53	    Compute complete	  0.152503	        10	
                         MINRES: Gauss-Seidel	 1.54	    Compute complete	  0.147956	        10	
                         MINRES: Gauss-Seidel	 1.55	    Compute complete	  0.147522	        10	
                         MINRES: Gauss-Seidel	 1.56	    Compute complete	  0.149929	        10	
                         MINRES: Gauss-Seidel	 1.57	    Compute complete	  0.147522	        10	
                         MINRES: Gauss-Seidel	 1.58	    Compute complete	  0.144188	        10	
                         MINRES: Gauss-Seidel	 1.59	    Compute complete	  0.156538	        10	
                         MINRES: Gauss-Seidel	  1.6	    Compute complete	  0.146628	        10	
                         MINRES: Gauss-Seidel	 1.61	    Compute complete	  0.147043	        10	
                         MINRES: Gauss-Seidel	 1.62	    Compute complete	  0.153398	        10	
                         MINRES: Gauss-Seidel	 1.63	    Compute complete	  0.149917	        10	
                         MINRES: Gauss-Seidel	 1.64	    Compute complete	   0.17382	        10	
                         MINRES: Gauss-Seidel	 1.65	    Compute complete	  0.177286	        10	
                         MINRES: Gauss-Seidel	 1.66	    Compute complete	  0.145312	        10	
                         MINRES: Gauss-Seidel	 1.67	    Compute complete	  0.146537	        10	
                         MINRES: Gauss-Seidel	 1.68	    Compute complete	  0.151236	        10	
                         MINRES: Gauss-Seidel	 1.69	    Compute complete	  0.151937	        10	
                         MINRES: Gauss-Seidel	  1.7	    Compute complete	  0.144183	        10	
                         MINRES: Gauss-Seidel	 1.71	    Compute complete	  0.153069	        10	
                         MINRES: Gauss-Seidel	 1.72	    Compute complete	  0.145172	        10	
                         MINRES: Gauss-Seidel	 1.73	    Compute complete	  0.146711	        10	
                         MINRES: Gauss-Seidel	 1.74	    Compute complete	  0.153662	        10	
                         MINRES: Gauss-Seidel	 1.75	    Compute complete	   0.14824	        10	
                         MINRES: Gauss-Seidel	 1.76	    Compute complete	  0.144348	        10	
                         MINRES: Gauss-Seidel	 1.77	    Compute complete	  0.152954	        10	
                         MINRES: Gauss-Seidel	 1.78	    Compute complete	  0.143866	        10	
                         MINRES: Gauss-Seidel	 1.79	    Compute complete	  0.146515	        10	
                         MINRES: Gauss-Seidel	  1.8	    Compute complete	  0.151716	        10	
                         MINRES: Gauss-Seidel	 1.81	    Compute complete	  0.147118	        10	
                         MINRES: Gauss-Seidel	 1.82	    Compute complete	   0.14437	        10	
                         MINRES: Gauss-Seidel	 1.83	    Compute complete	  0.155084	        10	
                         MINRES: Gauss-Seidel	 1.84	    Compute complete	  0.146815	        10	
                         MINRES: Gauss-Seidel	 1.85	    Compute complete	  0.152405	        10	
                         MINRES: Gauss-Seidel	 1.86	    Compute complete	  0.145157	        10	
                         MINRES: Gauss-Seidel	 1.87	    Compute complete	  0.147798	        10	
                         MINRES: Gauss-Seidel	 1.88	    Compute complete	  0.174693	        10	
                         MINRES: Gauss-Seidel	 1.89	    Compute complete	  0.151528	        10	
                         MINRES: Gauss-Seidel	  1.9	    Compute complete	   0.14393	        10	
                         MINRES: Gauss-Seidel	 1.91	    Compute complete	  0.154349	        10	
                         MINRES: Gauss-Seidel	 1.92	    Compute complete	   0.14519	        10	
                         MINRES: Gauss-Seidel	 1.93	    Compute complete	  0.145822	        10	
