                               MINRES: Jacobi	  0.1	    Compute complete	    234.86	       490	
                               MINRES: Jacobi	 0.11	    Compute complete	   234.448	       490	
                               MINRES: Jacobi	 0.12	    Compute complete	   234.779	       490	
                               MINRES: Jacobi	 0.13	    Compute complete	   234.931	       490	
                               MINRES: Jacobi	 0.14	    Compute complete	   234.853	       490	
                               MINRES: Jacobi	 0.15	    Compute complete	   234.842	       490	
                               MINRES: Jacobi	 0.16	    Compute complete	   234.396	       490	
                               MINRES: Jacobi	 0.17	    Compute complete	   234.131	       490	
                               MINRES: Jacobi	 0.18	    Compute complete	   234.898	       490	
                               MINRES: Jacobi	 0.19	    Compute complete	   234.233	       490	
                               MINRES: Jacobi	  0.2	    Compute complete	   234.515	       490	
                               MINRES: Jacobi	 0.21	    Compute complete	   228.514	       490	
                               MINRES: Jacobi	 0.22	    Compute complete	   229.589	       490	
                               MINRES: Jacobi	 0.23	    Compute complete	   230.331	       490	
                               MINRES: Jacobi	 0.24	    Compute complete	   227.253	       490	
                               MINRES: Jacobi	 0.25	    Compute complete	   226.265	       490	
                               MINRES: Jacobi	 0.26	    Compute complete	    224.56	       490	
                               MINRES: Jacobi	 0.27	    Compute complete	    224.88	       490	
                               MINRES: Jacobi	 0.28	    Compute complete	   227.374	       490	
                               MINRES: Jacobi	 0.29	    Compute complete	    228.47	       490	
                               MINRES: Jacobi	  0.3	    Compute complete	   228.406	       490	
                               MINRES: Jacobi	 0.31	    Compute complete	   226.841	       490	
                               MINRES: Jacobi	 0.32	    Compute complete	    226.96	       490	
                               MINRES: Jacobi	 0.33	    Compute complete	   225.528	       490	
                               MINRES: Jacobi	 0.34	    Compute complete	   224.509	       490	
                               MINRES: Jacobi	 0.35	    Compute complete	   226.352	       490	
                               MINRES: Jacobi	 0.36	    Compute complete	   226.256	       490	
                               MINRES: Jacobi	 0.37	    Compute complete	   226.255	       490	
                               MINRES: Jacobi	 0.38	    Compute complete	    225.91	       490	
                               MINRES: Jacobi	 0.39	    Compute complete	   224.113	       490	
                               MINRES: Jacobi	  0.4	    Compute complete	   224.106	       490	
                               MINRES: Jacobi	 0.41	    Compute complete	   224.243	       490	
                               MINRES: Jacobi	 0.42	    Compute complete	    226.32	       490	
                               MINRES: Jacobi	 0.43	    Compute complete	   226.455	       490	
                               MINRES: Jacobi	 0.44	    Compute complete	   226.545	       490	
                               MINRES: Jacobi	 0.45	    Compute complete	   226.082	       490	
                               MINRES: Jacobi	 0.46	    Compute complete	    224.74	       490	
                               MINRES: Jacobi	 0.47	    Compute complete	   224.745	       490	
                               MINRES: Jacobi	 0.48	    Compute complete	   224.976	       490	
                               MINRES: Jacobi	 0.49	    Compute complete	   226.176	       490	
                               MINRES: Jacobi	  0.5	    Compute complete	   226.329	       490	
                               MINRES: Jacobi	 0.51	    Compute complete	   226.885	       490	
                               MINRES: Jacobi	 0.52	    Compute complete	   226.169	       490	
                               MINRES: Jacobi	 0.53	    Compute complete	   224.837	       490	
                               MINRES: Jacobi	 0.54	    Compute complete	   224.551	       490	
                               MINRES: Jacobi	 0.55	    Compute complete	   224.709	       490	
                               MINRES: Jacobi	 0.56	    Compute complete	   226.006	       490	
                               MINRES: Jacobi	 0.57	    Compute complete	   226.084	       490	
                               MINRES: Jacobi	 0.58	    Compute complete	   225.966	       490	
                               MINRES: Jacobi	 0.59	    Compute complete	    226.39	       490	
                               MINRES: Jacobi	  0.6	    Compute complete	   224.486	       490	
                               MINRES: Jacobi	 0.61	    Compute complete	   224.298	       490	
                               MINRES: Jacobi	 0.62	    Compute complete	   227.672	       490	
                               MINRES: Jacobi	 0.63	    Compute complete	   226.217	       490	
                               MINRES: Jacobi	 0.64	    Compute complete	   226.166	       490	
                               MINRES: Jacobi	 0.65	    Compute complete	   226.106	       490	
                               MINRES: Jacobi	 0.66	    Compute complete	   226.528	       490	
                               MINRES: Jacobi	 0.67	    Compute complete	   224.131	       490	
                               MINRES: Jacobi	 0.68	    Compute complete	   224.948	       490	
                               MINRES: Jacobi	 0.69	    Compute complete	   224.613	       490	
                               MINRES: Jacobi	  0.7	    Compute complete	   226.423	       490	
                               MINRES: Jacobi	 0.71	    Compute complete	    226.32	       490	
                               MINRES: Jacobi	 0.72	    Compute complete	   228.214	       490	
                               MINRES: Jacobi	 0.73	    Compute complete	   226.851	       490	
                               MINRES: Jacobi	 0.74	    Compute complete	   224.367	       490	
                               MINRES: Jacobi	 0.75	    Compute complete	   224.539	       490	
                               MINRES: Jacobi	 0.76	    Compute complete	   224.194	       490	
                               MINRES: Jacobi	 0.77	    Compute complete	   226.708	       490	
                               MINRES: Jacobi	 0.78	    Compute complete	   226.443	       490	
                               MINRES: Jacobi	 0.79	    Compute complete	   226.261	       490	
                               MINRES: Jacobi	  0.8	    Compute complete	    226.08	       490	
                               MINRES: Jacobi	 0.81	    Compute complete	   224.766	       490	
                               MINRES: Jacobi	 0.82	    Compute complete	     224.3	       490	
                               MINRES: Jacobi	 0.83	    Compute complete	   224.568	       490	
                               MINRES: Jacobi	 0.84	    Compute complete	   226.847	       490	
                               MINRES: Jacobi	 0.85	    Compute complete	   228.119	       490	
                               MINRES: Jacobi	 0.86	    Compute complete	   227.922	       490	
                               MINRES: Jacobi	 0.87	    Compute complete	   225.858	       490	
                               MINRES: Jacobi	 0.88	    Compute complete	   224.602	       490	
                               MINRES: Jacobi	 0.89	    Compute complete	   224.402	       490	
                               MINRES: Jacobi	  0.9	    Compute complete	   224.431	       490	
                               MINRES: Jacobi	 0.91	    Compute complete	   226.509	       490	
                               MINRES: Jacobi	 0.92	    Compute complete	   225.948	       490	
                               MINRES: Jacobi	 0.93	    Compute complete	   226.449	       490	
                               MINRES: Jacobi	 0.94	    Compute complete	   226.307	       490	
                               MINRES: Jacobi	 0.95	    Compute complete	   224.933	       490	
                               MINRES: Jacobi	 0.96	    Compute complete	   224.317	       490	
                               MINRES: Jacobi	 0.97	    Compute complete	   225.011	       490	
                               MINRES: Jacobi	 0.98	    Compute complete	   226.231	       490	
                               MINRES: Jacobi	 0.99	    Compute complete	   227.077	       490	
                         MINRES: Gauss-Seidel	    1	    Timeout occured!	   1005.52	       139	
                         MINRES: Gauss-Seidel	 1.01	    Timeout occured!	   1006.11	       139	
                         MINRES: Gauss-Seidel	 1.02	    Timeout occured!	   1001.53	       139	
                         MINRES: Gauss-Seidel	 1.03	    Timeout occured!	   1004.96	       140	
                         MINRES: Gauss-Seidel	 1.04	    Timeout occured!	   1002.55	       140	
                         MINRES: Gauss-Seidel	 1.05	    Timeout occured!	   1005.41	       139	
                         MINRES: Gauss-Seidel	 1.06	    Timeout occured!	   1006.65	       140	
                         MINRES: Gauss-Seidel	 1.07	    Timeout occured!	   1004.36	       140	
                         MINRES: Gauss-Seidel	 1.08	    Timeout occured!	   1006.26	       140	
                         MINRES: Gauss-Seidel	 1.09	    Timeout occured!	   1005.15	       139	
                         MINRES: Gauss-Seidel	  1.1	    Timeout occured!	   1005.43	       140	
                         MINRES: Gauss-Seidel	 1.11	    Timeout occured!	   1005.58	       140	
                         MINRES: Gauss-Seidel	 1.12	    Timeout occured!	   1007.09	       139	
                         MINRES: Gauss-Seidel	 1.13	    Timeout occured!	   1005.21	       140	
                         MINRES: Gauss-Seidel	 1.14	    Timeout occured!	   1002.21	       139	
                         MINRES: Gauss-Seidel	 1.15	    Timeout occured!	   1006.73	       140	
                         MINRES: Gauss-Seidel	 1.16	    Timeout occured!	   1003.35	       140	
                         MINRES: Gauss-Seidel	 1.17	    Timeout occured!	   1004.59	       140	
                         MINRES: Gauss-Seidel	 1.18	    Timeout occured!	   1003.61	       140	
                         MINRES: Gauss-Seidel	 1.19	    Timeout occured!	   1002.75	       140	
                         MINRES: Gauss-Seidel	  1.2	    Timeout occured!	   1006.58	       140	
                         MINRES: Gauss-Seidel	 1.21	    Timeout occured!	   1004.12	       140	
                         MINRES: Gauss-Seidel	 1.22	    Timeout occured!	   1002.66	       140	
                         MINRES: Gauss-Seidel	 1.23	    Timeout occured!	   1003.47	       140	
                         MINRES: Gauss-Seidel	 1.24	    Timeout occured!	   1004.77	       140	
                         MINRES: Gauss-Seidel	 1.25	    Timeout occured!	   1005.19	       140	
                         MINRES: Gauss-Seidel	 1.26	    Timeout occured!	   1004.01	       140	
                         MINRES: Gauss-Seidel	 1.27	    Timeout occured!	   1004.76	       140	
                         MINRES: Gauss-Seidel	 1.28	    Timeout occured!	    1003.4	       140	
                         MINRES: Gauss-Seidel	 1.29	    Timeout occured!	   1003.84	       140	
                         MINRES: Gauss-Seidel	  1.3	    Timeout occured!	    1006.5	       140	
                         MINRES: Gauss-Seidel	 1.31	    Timeout occured!	   1002.22	       133	
                         MINRES: Gauss-Seidel	 1.32	    Timeout occured!	   1002.12	       139	
                         MINRES: Gauss-Seidel	 1.33	    Timeout occured!	   1001.94	       139	
                         MINRES: Gauss-Seidel	 1.34	    Timeout occured!	   1006.83	       140	
                         MINRES: Gauss-Seidel	 1.35	    Timeout occured!	   1001.87	       139	
                         MINRES: Gauss-Seidel	 1.36	    Timeout occured!	   1000.18	       139	
                         MINRES: Gauss-Seidel	 1.37	    Timeout occured!	   1007.17	       140	
                         MINRES: Gauss-Seidel	 1.38	    Timeout occured!	   1000.78	       139	
                         MINRES: Gauss-Seidel	 1.39	    Timeout occured!	   1001.83	       139	
